id,name,description,category,author,github_url,npm_package,official,features
everything,Everything,Reference/test server with prompts resources and tools,dev-tools,modelcontextprotocol,https://github.com/modelcontextprotocol/servers/tree/main/src/everything,,true,"prompts,resources,tools,testing"
fetch,Fetch,Web content fetching and conversion for efficient LLM usage,browser,modelcontextprotocol,https://github.com/modelcontextprotocol/servers/tree/main/src/fetch,,true,"web-scraping,content-extraction,markdown"
filesystem,Filesystem,Secure file operations with configurable access controls,filesystem,modelcontextprotocol,https://github.com/modelcontextprotocol/servers/tree/main/src/filesystem,,true,"file-read,file-write,directory-listing"
git,Git,Tools to read search and manipulate Git repositories,version-control,modelcontextprotocol,https://github.com/modelcontextprotocol/servers/tree/main/src/git,,true,"git-operations,repository-management,commits"
memory,Memory,Knowledge graph-based persistent memory system,knowledge,modelcontextprotocol,https://github.com/modelcontextprotocol/servers/tree/main/src/memory,,true,"knowledge-graph,persistence,entities"
sequential-thinking,Sequential Thinking,Dynamic and reflective problem-solving through thought sequences,reasoning,modelcontextprotocol,https://github.com/modelcontextprotocol/servers/tree/main/src/sequentialthinking,,true,"reasoning,problem-solving,chain-of-thought"
time,Time,Time and timezone conversion capabilities,utilities,modelcontextprotocol,https://github.com/modelcontextprotocol/servers/tree/main/src/time,,true,"timezone,date-time,conversion"
brave-search,Brave Search,Web and local search using Brave Search API,search,brave,https://github.com/brave/brave-search-mcp-server,,true,"web-search,local-search,api"
github,GitHub,Repository management file operations and GitHub API integration,version-control,modelcontextprotocol,https://github.com/modelcontextprotocol/servers-archived/tree/main/src/github,,true,"github-api,repositories,issues,pull-requests"
puppeteer,Puppeteer,Browser automation and web scraping,browser,modelcontextprotocol,https://github.com/modelcontextprotocol/servers-archived/tree/main/src/puppeteer,,true,"browser-automation,web-scraping,screenshots"
slack,Slack,Channel management and messaging capabilities,communication,zencoderai,https://github.com/zencoderai/slack-mcp-server,,false,"messaging,channels,workspace"
postgres,PostgreSQL,Read-only database access with schema inspection,database,modelcontextprotocol,https://github.com/modelcontextprotocol/servers-archived/tree/main/src/postgres,,true,"postgresql,sql,schema"
sqlite,SQLite,Database interaction and business intelligence capabilities,database,modelcontextprotocol,https://github.com/modelcontextprotocol/servers-archived/tree/main/src/sqlite,,true,"sqlite,sql,analytics"
google-drive,Google Drive,File access and search capabilities for Google Drive,cloud,modelcontextprotocol,https://github.com/modelcontextprotocol/servers-archived/tree/main/src/gdrive,,true,"google-drive,files,search"
google-maps,Google Maps,Location services directions and place details,location,modelcontextprotocol,https://github.com/modelcontextprotocol/servers-archived/tree/main/src/google-maps,,true,"maps,directions,places"
sentry,Sentry,Retrieving and analyzing issues from Sentry.io,monitoring,modelcontextprotocol,https://github.com/modelcontextprotocol/servers-archived/tree/main/src/sentry,,true,"error-tracking,issues,analytics"
redis,Redis,Interact with Redis key-value stores,database,modelcontextprotocol,https://github.com/modelcontextprotocol/servers-archived/tree/main/src/redis,,true,"redis,key-value,caching"
21st-dev-magic,21st.dev Magic,Create crafted UI components inspired by design engineers,ui-components,21st-dev,https://github.com/21st-dev/magic-mcp,,false,"ui-components,design,react"
playwright,Playwright,Official Microsoft Playwright MCP server for web automation,browser,microsoft,https://github.com/microsoft/playwright-mcp,,true,"browser-automation,testing,accessibility"
browserbase,Browserbase,Automate browser interactions in the cloud,browser,browserbase,https://github.com/browserbase/mcp-server-browserbase,,true,"cloud-browser,automation,scraping"
context7,Context7,Up-to-date documentation for any library,documentation,upstash,https://github.com/upstash/context7,,false,"documentation,libraries,api-reference"
pipedream,Pipedream,Connect with 2500+ APIs with 8000+ prebuilt tools,aggregator,pipedreamhq,https://github.com/PipedreamHQ/pipedream/tree/master/modelcontextprotocol,,false,"integrations,apis,workflows"
algolia,Algolia,Search indices provisioning and querying,search,algolia,https://github.com/algolia/mcp,,true,"search,indexing,api"
aiven,Aiven,Navigate Aiven projects and interact with PostgreSQL Kafka ClickHouse,cloud,aiven,https://github.com/Aiven-Open/mcp-aiven,,true,"postgresql,kafka,clickhouse"
agentql,AgentQL,Get structured data from unstructured web,browser,tinyfish-io,https://github.com/tinyfish-io/agentql-mcp,,true,"web-scraping,structured-data,extraction"
mindsdb,MindsDB,Connect and unify data across platforms,database,mindsdb,https://github.com/mindsdb/mindsdb,,false,"data-integration,ml,predictions"
